委託時間,UID,委託單號,倉位單號,合約類型,交易對,方向,槓桿,訂單類型,委託價格,已成交數量,委託狀態,手續費,成交均價,成交金額,取消時間,成交時間
2024-08-09T07:00:40+08:00,OOOOOGDS,347458693795840,135520684986368,普通合約,BTCUSDT,空,10,強制平倉,62625.39525754,0.00087,已成交,0.01089682,62625.39525754,54.4840938740598,--,2024-08-09T07:00:40+08:00
2024-08-08T23:28:40+08:00,OOOOOGDV,233708255449088,233645319917568,普通合約,BTCUSDT,多,277,市價平倉,57734.479940789857795477,1.902927,已成交,22.31686914,58638.26919064,111584.34567613700328,--,2024-08-08T23:28:40+08:00
2024-08-08T23:28:25+08:00,OOOOOGDV,233645319917568,233645319917568,普通合約,BTCUSDT,多,277,市價開倉,0,1.902927,已成交,22.39340765,58839.3765176,111967.0382385070152,--,2024-08-08T23:28:25+08:00
2024-08-08T23:28:08+08:00,OOOOOGDV,233573613948928,233514235334656,普通合約,BTCUSDT,多,277,市價平倉,57866.356478061721235932,2.824936,已成交,33.15222486,58677.83351002,165761.12428446185872,--,2024-08-08T23:28:08+08:00
2024-08-08T23:27:54+08:00,OOOOOGDV,233514235334656,233514235334656,普通合約,BTCUSDT,多,277,市價開倉,0,2.824936,已成交,33.26592465,58879.0766367,166329.6232377727512,--,2024-08-08T23:27:54+08:00
2024-08-08T23:17:31+08:00,OOOOOGMK,230902861172736,230516582895616,得勁合約,BTCUSDT,多,1000,強制平倉,58643.19338746,13.104871,已成交,230.55344532,58643.19338746,768511.48437071631766,--,2024-08-08T23:17:31+08:00
2024-08-08T23:15:59+08:00,OOOOOGMK,230516582895616,230516582895616,得勁合約,BTCUSDT,多,1000,市價開倉,0,13.104871,已成交,0,58698.0760937,769230.7151561224127,--,2024-08-08T23:15:59+08:00
2024-08-08T23:10:06+08:00,OOOOOFHC,229035297329152,228141118001152,普通合約,BTCUSDT,多,1,市價平倉,58964.3,0.000084,已成交,0.0009906,58964.1231071,4.9529863409964,--,2024-08-08T23:10:06+08:00
2024-08-08T23:06:33+08:00,OOOOOFHC,228141118001152,228141118001152,普通合約,BTCUSDT,多,1,市價開倉,0,0.000084,已成交,0.00099259,59082.5772472,4.9629364887648,--,2024-08-08T23:06:33+08:00
2024-08-08T22:39:30+08:00,OOOOOGDV,221334593081344,221015603531776,得勁合約,BTCUSDT,多,600,市價平倉,56984.220655455112478311,2.610271,已成交,45.69101081,58347.72303434,152303.36935256970614,--,2024-08-08T22:39:30+08:00
2024-08-08T22:38:14+08:00,OOOOOGDV,221015603531776,221015603531776,得勁合約,BTCUSDT,多,600,市價開倉,0,2.610271,已成交,0,58439.2753173,152542.3456217639883,--,2024-08-08T22:38:14+08:00
2024-08-08T22:37:34+08:00,OOOOOGDV,220850268262400,219687561203712,得勁合約,BTCUSDT,多,800,市價平倉,57213.795575304685214394,5.527779,已成交,96.66087564,58287.95232159,322202.91879628644861,--,2024-08-08T22:37:34+08:00
2024-08-08T22:37:34+08:00,OOOOOGDV,220850268262401,219860420907008,得勁合約,BTCUSDT,多,600,市價平倉,57213.795575304685214394,4.367364,已成交,76.15168731,58121.77727344,253838.95768004001216,--,2024-08-08T22:37:34+08:00
2024-08-08T22:33:38+08:00,OOOOOGDV,219860420907008,219860420907008,得勁合約,BTCUSDT,多,600,市價開倉,0,4.367364,已成交,0,58212.9746384,254237.2497686611776,--,2024-08-08T22:33:38+08:00
2024-08-08T22:32:57+08:00,OOOOOGDV,219687561203712,219687561203712,得勁合約,BTCUSDT,多,800,市價開倉,0,5.527779,已成交,0,58356.2750683,322580.5918407723057,--,2024-08-08T22:32:57+08:00
2024-08-08T22:30:49+08:00,OOOOOGDV,219150274564096,219031899066368,得勁合約,BTCUSDT,多,800,強制平倉,58083.69134752,2.218883,已成交,38.6642746,58083.69134752,128880.91530825922016,--,2024-08-08T22:30:49+08:00
2024-08-08T22:30:46+08:00,OOOOOGMO,219138119471104,218938131353600,得勁合約,BTCUSDT,多,1000,強制平倉,58093.60606599,2.645769,已成交,46.11067861,58093.60606599,153702.26202760829631,--,2024-08-08T22:30:46+08:00
2024-08-08T22:30:21+08:00,OOOOOGDV,219031899066368,219031899066368,得勁合約,BTCUSDT,多,800,市價開倉,0,2.218883,已成交,0,58151.8744551,129032.2056465556533,--,2024-08-08T22:30:21+08:00
2024-08-08T22:29:58+08:00,OOOOOGMO,218938131353600,218938131353600,得勁合約,BTCUSDT,多,1000,市價開倉,0,2.645769,已成交,0,58147.9744434,153846.1081951399746,--,2024-08-08T22:29:58+08:00
2024-08-08T22:27:56+08:00,OOOOOGDV,218424760979456,218327163719680,得勁合約,BTCUSDT,多,800,市價平倉,57992.6,5.563867,已成交,96.79864362,57992.4260222,322662.1453948598474,--,2024-08-08T22:27:56+08:00
2024-08-08T22:27:51+08:00,OOOOOGDN,218404091105280,137041896132608,普通合約,TRXUSDT,空,249,強制平倉,0.12620168,9003,已成交,0.22723875,0.12620168,1136.19372504,--,2024-08-08T22:27:51+08:00
2024-08-08T22:27:44+08:00,OOOOOGMJ,218372575596544,217538408075264,普通合約,BTCUSDT,多,1,市價平倉,60.95038840621473456,0.017327,已成交,0.00999681,2884.74660495,49.98400442396865,--,2024-08-08T22:27:44+08:00
2024-08-08T22:27:43+08:00,OOOOOGDV,218369358417920,218332926840832,普通合約,BTCUSDT,多,1,市價平倉,57983.3,0.172422,已成交,1.99951332,57983.1260501,9997.5665598103422,--,2024-08-08T22:27:43+08:00
2024-08-08T22:27:34+08:00,OOOOOGDV,218332926840832,218332926840832,普通合約,BTCUSDT,多,1,市價開倉,0,0.172422,已成交,1.99919339,57973.84863825,9995.9669299043415,--,2024-08-08T22:27:34+08:00
2024-08-08T22:27:33+08:00,OOOOOGDV,218327163719680,218327163719680,得勁合約,BTCUSDT,多,800,市價開倉,0,5.563867,已成交,0,57977.7739328,322580.6231181661376,--,2024-08-08T22:27:33+08:00
2024-08-08T22:27:16+08:00,OOOOOGDV,218257362112512,218123765141504,普通合約,BTCUSDT,多,20,市價平倉,57966.7,0.304277,已成交,3.52757614,57966.5260999,17637.8806620992723,--,2024-08-08T22:27:16+08:00
2024-08-08T22:26:44+08:00,OOOOOGDV,218123765141504,218123765141504,普通合約,BTCUSDT,多,20,市價開倉,0,0.304277,已成交,3.51983213,57839.2735173,17599.1606280234921,--,2024-08-08T22:26:44+08:00
2024-08-08T22:26:33+08:00,OOOOOGDV,218078055616512,217936518828032,普通合約,BTCUSDT,多,20,市價平倉,57827.7,0.183424,已成交,2.12139125,57827.5265169,10606.9562238358656,--,2024-08-08T22:26:33+08:00
2024-08-08T22:26:00+08:00,OOOOOGDV,217936518828032,217936518828032,普通合約,BTCUSDT,多,20,市價開倉,0,0.183424,已成交,2.11904514,57763.5732902,10595.2256671816448,--,2024-08-08T22:26:00+08:00
2024-08-08T22:25:50+08:00,OOOOOGDV,217894206689280,217852418985984,普通合約,BTCUSDT,多,20,市價平倉,56603.598529800598160856,0.114436,已成交,1.295494,56603.428719005008759062,6477.469968888057182352019032,--,2024-08-08T22:25:50+08:00
2024-08-08T22:25:40+08:00,OOOOOGDV,217852418985984,217852418985984,普通合約,BTCUSDT,多,20,市價開倉,0,0.114436,已成交,1.32142164,57736.2732083,6607.1081608650188,--,2024-08-08T22:25:40+08:00
2024-08-08T22:24:25+08:00,OOOOOGMJ,217538408075264,217538408075264,普通合約,BTCUSDT,多,1,市價開倉,0,0.017327,已成交,0.19991849,57689.8730691,999.5924306682957,--,2024-08-08T22:24:25+08:00
2024-08-08T22:22:25+08:00,OOOOOGDV,217035813015552,217005442060288,得勁合約,BTCUSDT,多,800,市價平倉,57676.9,3.355969,已成交,58.06839232,57676.7269693,193561.3077304347517,--,2024-08-08T22:22:25+08:00
2024-08-08T22:22:18+08:00,OOOOOGDV,217005442060288,217005442060288,得勁合約,BTCUSDT,多,800,市價開倉,0,3.355969,已成交,0,57672.8730181,193548.3739896800389,--,2024-08-08T22:22:18+08:00
2024-08-08T22:20:11+08:00,OOOOOGDV,216476032815104,216445175320576,得勁合約,BTCUSDT,多,800,市價平倉,57576.1,5.59865,已成交,96.70423957,57575.9272717,322347.465219703205,--,2024-08-08T22:20:11+08:00
2024-08-08T22:20:04+08:00,OOOOOGDV,216445175320576,216445175320576,得勁合約,BTCUSDT,多,800,市價開倉,0,5.59865,已成交,0,57617.5728522,322580.62424896953,--,2024-08-08T22:20:04+08:00
2024-08-08T22:15:21+08:00,OOOOOGDV,215257927389184,215229741666304,得勁合約,BTCUSDT,多,600,市價平倉,57463.5,5.308861,已成交,91.51944567,57463.3276095,305064.8188762977795,--,2024-08-08T22:15:21+08:00
2024-08-08T22:15:14+08:00,OOOOOGDV,215229741666304,215229741666304,得勁合約,BTCUSDT,多,600,市價開倉,0,5.308861,已成交,0,57467.0724007,305084.6994522526027,--,2024-08-08T22:15:14+08:00
2024-08-08T22:14:42+08:00,OOOOOGMO,215093007208448,214927193935872,得勁合約,BTCUSDT,多,1000,市價平倉,57461.4,2.678022,已成交,46.16472952,57461.2276158,153882.4317021199476,--,2024-08-08T22:14:42+08:00
2024-08-08T22:14:02+08:00,OOOOOGMO,214927193935872,214927193935872,得勁合約,BTCUSDT,多,1000,市價開倉,0,2.678022,已成交,0,57447.6723425,153846.130382006535,--,2024-08-08T22:14:02+08:00
2024-08-08T22:13:52+08:00,OOOOOGMO,214882855948288,214845522448384,得勁合約,BTCUSDT,多,1000,市價平倉,55794.800158470542648409,5.353947,已成交,92.22153008,57416.53778715,307405.10023589838105,--,2024-08-08T22:13:52+08:00
2024-08-08T22:13:43+08:00,OOOOOGMO,214845522448384,214845522448384,得勁合約,BTCUSDT,多,1000,市價開倉,0,5.353947,已成交,0,57470.17241,307692.25716400227,--,2024-08-08T22:13:43+08:00
2024-08-08T22:13:08+08:00,OOOOOGDV,214698369486848,214672343683072,得勁合約,BTCUSDT,多,1000,市價平倉,57460.2,5.941672,已成交,102.42259117,57460.0276194,341408.6372254156368,--,2024-08-08T22:13:08+08:00
2024-08-08T22:13:01+08:00,OOOOOGDV,214672343683072,214672343683072,得勁合約,BTCUSDT,多,1000,市價開倉,0,5.941672,已成交,0,57481.8724451,341538.4320146222072,--,2024-08-08T22:13:01+08:00
2024-08-08T22:12:05+08:00,OOOOOGMO,214435889451008,214372102967296,得勁合約,BTCUSDT,多,1000,止盈平倉,57405.1,5.365,已成交,92.39350845,57405.1,307978.3615,--,2024-08-08T22:12:05+08:00
2024-08-08T22:11:50+08:00,OOOOOGMO,214372102967296,214372102967296,得勁合約,BTCUSDT,多,1000,市價開倉,0,5.365,已成交,0,57351.7720548,307692.257074002,--,2024-08-08T22:11:50+08:00
2024-08-08T22:11:07+08:00,OOOOOGDV,214192901181440,214166774861824,得勁合約,BTCUSDT,多,1000,市價平倉,57453.7,4.018432,已成交,69.2619282,57453.5276389,230873.0939770402048,--,2024-08-08T22:11:07+08:00
2024-08-08T22:11:01+08:00,OOOOOGDV,214166774861824,214166774861824,得勁合約,BTCUSDT,多,1000,市價開倉,0,4.018432,已成交,0,57427.6722825,230769.19598551104,--,2024-08-08T22:11:01+08:00
2024-08-08T22:10:45+08:00,OOOOOGDV,214098995056640,214038500610048,普通合約,BTCUSDT,多,20,市價平倉,56075.215720906948502096,0.306702,已成交,3.43966585,56075.04749525978578125,17198.3292168911668186809375,--,2024-08-08T22:10:45+08:00
2024-08-08T22:10:30+08:00,OOOOOGDV,214038500610048,214038500610048,普通合約,BTCUSDT,多,20,市價開倉,0,0.306702,已成交,3.523808,57446.7723398,17619.0399701613396,--,2024-08-08T22:10:30+08:00
2024-08-08T22:09:50+08:00,OOOOOGDV,213868786487296,213834300772352,普通合約,BTCUSDT,多,20,市價平倉,56139.837104548699709962,0.191811,已成交,2.1536412,56139.668685037386063862,10768.205990145706058295434082,--,2024-08-08T22:09:50+08:00
2024-08-08T22:09:42+08:00,OOOOOGDV,213834300772352,213834300772352,普通合約,BTCUSDT,多,20,市價開倉,0,0.191811,已成交,2.20237284,57409.9722294,11011.8641832934434,--,2024-08-08T22:09:42+08:00
2024-08-08T22:09:23+08:00,OOOOOGDV,213754063884288,213723713900544,得勁合約,BTCUSDT,多,1000,市價平倉,57444.7,4.019517,已成交,69.26977666,57444.5276659,230899.2555100553703,--,2024-08-08T22:09:22+08:00
2024-08-08T22:09:15+08:00,OOOOOGDV,213723713900544,213723713900544,得勁合約,BTCUSDT,多,1000,市價開倉,0,4.019517,已成交,0,57412.172236,230769.202309530012,--,2024-08-08T22:09:15+08:00
2024-08-08T22:03:25+08:00,OOOOOGMO,212255270801408,212236745052160,得勁合約,BTCUSDT,多,1000,止盈平倉,57517.7,4.0153,已成交,69.28524625,57517.7,230950.82081,--,2024-08-08T22:03:25+08:00
2024-08-08T22:03:21+08:00,OOOOOGMO,212236745052160,212236745052160,得勁合約,BTCUSDT,多,1000,市價開倉,0,4.0153,已成交,0,57472.4724169,230769.21849557857,--,2024-08-08T22:03:21+08:00
2024-08-08T21:44:01+08:00,OOOOOGDV,207371993993216,207330726383616,得勁合約,BTCUSDT,多,1000,市價平倉,57440.9,4.017572,已成交,69.23167776,57440.7276773,230772.2591759455156,--,2024-08-08T21:44:01+08:00
2024-08-08T21:43:51+08:00,OOOOOGDV,207330726383616,207330726383616,得勁合約,BTCUSDT,多,1000,市價開倉,0,4.017572,已成交,0,57439.9723194,230769.2244711964968,--,2024-08-08T21:43:51+08:00
2024-08-08T21:43:02+08:00,OOOOOGDV,207124806881280,207093978894336,得勁合約,BTCUSDT,多,1000,市價平倉,57502.8,4.014301,已成交,69.24985652,57502.6274916,230832.8550421573716,--,2024-08-08T21:43:02+08:00
2024-08-08T21:42:55+08:00,OOOOOGDV,207093978894336,207093978894336,得勁合約,BTCUSDT,多,1000,市價開倉,0,4.014301,已成交,0,57486.7724598,230769.2081721475998,--,2024-08-08T21:42:55+08:00
2024-08-08T21:41:52+08:00,OOOOOGDV,206831050559488,206799853178880,得勁合約,BTCUSDT,多,1000,市價平倉,57432.4,4.017949,已成交,69.22792856,57432.2277028,230759.7618662375572,--,2024-08-08T21:41:52+08:00
2024-08-08T21:41:44+08:00,OOOOOGDV,206799853178880,206799853178880,得勁合約,BTCUSDT,多,1000,市價開倉,0,4.017949,已成交,0,57434.5723032,230769.1823510701368,--,2024-08-08T21:41:44+08:00
2024-08-08T21:41:31+08:00,OOOOOGMJ,206743599321088,206126944210944,普通合約,BTCUSDT,多,1,市價平倉,57403.8,0.000086,已成交,0.00098735,57403.6277886,4.9367119898196,--,2024-08-08T21:41:31+08:00
2024-08-08T21:40:48+08:00,OOOOOGDV,206563180843008,206534739759104,得勁合約,BTCUSDT,多,1000,止盈平倉,57464.8,4.019657,已成交,69.29663568,57464.8,230988.7855736,--,2024-08-08T21:40:48+08:00
2024-08-08T21:40:41+08:00,OOOOOGDV,206534739759104,206534739759104,得勁合約,BTCUSDT,多,1000,市價開倉,0,4.019657,已成交,0,57410.17223,230769.20067552511,--,2024-08-08T21:40:41+08:00
2024-08-08T21:40:28+08:00,OOOOOGMJ,206479328808960,205726920855552,普通合約,BTCUSDT,多,499,市價平倉,57426,0.723578,已成交,8.31041312,57425.827722,41552.065571429316,--,2024-08-08T21:40:28+08:00
2024-08-08T21:39:04+08:00,OOOOOGMJ,206126944210944,206126944210944,普通合約,BTCUSDT,多,1,市價開倉,0,0.000086,已成交,0.00098927,57515.2725453,4.9463134388958,--,2024-08-08T21:39:04+08:00
2024-08-08T21:38:47+08:00,OOOOOGMJ,206055049793536,,普通合約,BTCUSDT,多,1,限價開倉,57466.2,0,已取消,0,0,0,2024-08-08T21:38:59+08:00,--
2024-08-08T21:37:29+08:00,OOOOOGMJ,205726920855552,205726920855552,普通合約,BTCUSDT,多,499,市價開倉,0,0.723578,已成交,8.31943538,57488.172464,41597.176855156192,--,2024-08-08T21:37:29+08:00
