開倉時間,UID,倉位單號,合約類型,交易對,方向,槓桿,開倉價格,止盈價格,止損價格,強平價格,倉位數量,初始保證金,倉位保證金,開倉手續費,未實現盈虧,資金費,倉位狀態,平倉類型,平倉價格,已實現盈虧,回報率,平倉手續費,平倉時間
2024-07-05T13:44:23+08:00,OOOOOOOG,449058412126208,得勁合約,BTCUSDT,空,1000,54361.9,54199.9,0,54412.7,0.07075,5,5,0,0,0,已平倉,強制平倉,54412.7,-5,-100,1.15490884,2024-07-05T13:45:30+08:00
2024-07-05T13:44:26+08:00,OOOOOOOG,449068738502656,得勁合約,BTCUSDT,多,1000,54361.2,54524.1,0,54310.4,0.070751,5,5,0,0,0,已平倉,手動平倉,54497.9,8.21725256,164.35,1.45443815,2024-07-05T13:47:29+08:00
2024-07-05T13:44:40+08:00,OOOOOOOG,449126879944704,普通合約,BTCUSDT,多,100,54379.1,57097.8,0,53863.1,0.008841,4.90384694,4.90384694,0.09615306,0,0,已平倉,手動平倉,54500.1,0.87724412,17.55,0.09636702,2024-07-05T13:47:35+08:00
2024-07-05T13:44:42+08:00,OOOOOOOG,449138014212096,普通合約,BTCUSDT,空,100,54378.9,51660,0,54894.9,0.008841,4.90384734,4.90384734,0.09615266,0,0,已平倉,手動平倉,54499.8,-1.26139279,-25.23,0.09636644,2024-07-05T13:47:35+08:00
2024-07-05T14:26:16+08:00,OOOOOOOR,459595690762240,得勁合約,BTCUSDT,空,1000,54291.2,54128.4,54304.9,54341.9,0.070843,5,5,0,0,0,已平倉,手動平倉,54289.1,-1.00502963,-20.11,1.15379948,2024-07-05T14:26:19+08:00
2024-07-05T14:32:23+08:00,OOOOOOOR,461136426393600,普通合約,BTCUSDT,多,1,54020.4,324150,0,2411,0.000092,4.99900602,4.99900602,0.00099398,0,0,已平倉,手動平倉,54000.4,-0.00382759,-0.08,0.00099361,2024-07-05T14:32:47+08:00
2024-07-05T14:32:35+08:00,OOOOOOOR,461188174106624,普通合約,BTCUSDT,空,1,54014.3,0,0,105623.7,0.000092,4.99900613,4.99900613,0.00099387,0,0,已平倉,手動平倉,54000.1,-0.00068109,-0.02,0.00099361,2024-07-05T14:32:47+08:00
2024-07-05T14:37:08+08:00,OOOOOOOR,462331228413952,得勁合約,BTCUSDT,多,500,53918.2,54242,0,53816.6,0.040318,5,5,0,0,0,已平倉,手動平倉,53931.9,-0.0999692,-2,0.65232745,2024-07-05T14:37:20+08:00
2024-07-05T14:37:14+08:00,OOOOOOOR,462358938570752,得勁合約,BTCUSDT,空,500,53933.8,53610.4,0,54035.5,0.040307,5,5,0,0,0,已平倉,手動平倉,53931.6,-0.56347043,-11.27,0.65214556,2024-07-05T14:37:20+08:00
2024-07-05T14:39:26+08:00,OOOOOOOR,462906794364928,普通合約,BTCUSDT,多,1,53987,323922,0,2377.7,0.000092,4.99900663,4.99900663,0.00099337,0,0,已平倉,手動平倉,53965.7,-0.00394944,-0.08,0.00099297,2024-07-05T14:39:44+08:00
2024-07-05T14:39:34+08:00,OOOOOOOR,462942124597248,普通合約,BTCUSDT,空,1,53994.4,0,0,105603.8,0.000092,4.9990065,4.9990065,0.0009935,0,0,已平倉,手動平倉,53965.4,0.00068152,0.02,0.00099297,2024-07-05T14:39:44+08:00
2024-07-05T15:01:42+08:00,OOOOOOOC,468515681914880,普通合約,BTCUSDT,多,1,54284.9,325693.2,0,2675.6,0.000092,4.99900115,4.99900115,0.00099885,0,0,已平倉,手動平倉,54294.3,-0.00112859,-0.03,0.00099902,2024-07-05T15:01:45+08:00
2024-07-05T15:04:43+08:00,OOOOOOOG,469273064165376,得勁合約,BTCUSDT,多,1000,54186.2,54348.7,0,54135.5,0.07098,5,5,0,0,0,已平倉,強制平倉,54135.5,-5,-100,1.1527613,2024-07-05T15:05:25+08:00
2024-07-05T15:04:48+08:00,OOOOOOOG,469294341869568,得勁合約,BTCUSDT,空,1000,54185.8,54021.8,0,54236.5,0.07098,5,5,0,0,0,已平倉,手動平倉,54136,2.38202273,47.65,1.15277066,2024-07-05T15:07:15+08:00
2024-07-05T15:08:06+08:00,OOOOOOOG,470124396240896,普通合約,BTCUSDT,多,499,54081.4,54623.1,0,53979,0.038457,4.58403861,4.58403861,0.41596139,0,0,已平倉,手動平倉,54106.1,0.11777798,2.36,0.41615137,2024-07-05T15:09:04+08:00
2024-07-05T15:08:12+08:00,OOOOOOOG,470149935357952,普通合約,BTCUSDT,空,499,54084.9,53544.6,0,54187.3,0.038455,4.58403331,4.58403331,0.41596669,0,0,已平倉,手動平倉,54104.2,-1.57326711,-31.47,0.41611493,2024-07-05T15:08:53+08:00
2024-07-05T15:09:20+08:00,OOOOOOOG,470436610232320,得勁合約,BTCUSDT,多,1000,54088.1,54249.6,0,54037.5,0.071109,5,5,0,0,0,已平倉,手動平倉,54185.6,5.77722393,115.55,1.15592436,2024-07-05T15:10:19+08:00
2024-07-05T15:09:25+08:00,OOOOOOOG,470456973578240,得勁合約,BTCUSDT,空,1000,54097.6,53931.8,0,54148.2,0.071096,5,5,0,0,0,已平倉,手動平倉,54118.1,-2.61173643,-52.24,1.15427281,2024-07-05T15:09:38+08:00
2024-07-05T15:29:53+08:00,OOOOOOOC,113216969318400,普通合約,BTCUSDT,多,1,54281.5,325688.4,0,2672.2,0.000092,4.99900122,4.99900122,0.00099878,0,0,已平倉,手動平倉,54281.5,-0.00199756,-0.04,0.00099878,2024-07-05T15:29:55+08:00
2024-07-05T16:15:11+08:00,OOOOOOOG,124618350075904,得勁合約,BTCUSDT,空,1000,54413.9,54250.8,0,54464.8,0.070683,5,5,0,0,0,已平倉,手動平倉,54335.7,4.37521226,87.51,1.15218175,2024-07-05T16:16:02+08:00
2024-07-05T16:15:16+08:00,OOOOOOOG,124638927331328,得勁合約,BTCUSDT,多,1000,54390.7,54570,0,54339.9,0.070713,5,5,0,0,0,已平倉,手動平倉,54360.8,-3.26752884,-65.36,1.1532038,2024-07-05T16:15:28+08:00
2024-07-05T17:14:54+08:00,OOOOOOOG,502032948187136,得勁合約,BTCUSDT,多,1000,53896.4,54057.9,0,53846,0.071362,5,5,0,0,0,已平倉,止盈平倉,54057.9,9.79332268,195.87,1.73437429,2024-07-05T17:17:14+08:00
2024-07-05T17:14:59+08:00,OOOOOOOG,139666124513280,得勁合約,BTCUSDT,空,1000,53880.9,53719.3,0,53931.3,0.071382,5,5,0,0,0,已平倉,強制平倉,53931.3,-5,-100,1.15491546,2024-07-05T17:15:10+08:00
2024-07-05T17:25:16+08:00,OOOOOOOG,504642782547968,得勁合約,BTCUSDT,多,1000,54214.2,54380.1,0,54163.5,0.070943,5,5,0,0,0,已平倉,手動平倉,54315.6,6.03764908,120.76,1.1559927,2024-07-05T17:28:07+08:00
2024-07-05T17:25:18+08:00,OOOOOOOG,504653125701632,得勁合約,BTCUSDT,空,1000,54205.1,54042.5,0,54255.8,0.070955,5,5,0,0,0,已平倉,強制平倉,54255.8,-5,-100,1.15491438,2024-07-05T17:26:43+08:00
2024-07-05T20:53:27+08:00,OOOOOOJG,194645037563904,普通合約,BTCUSDT,多,293,55185.2,56115.9,0,55006.8,0.035167,7.01186065,7.01186065,0.38813935,0,0,已平倉,手動平倉,55218.9,0.40861573,5.53,0.38837637,2024-07-05T20:54:09+08:00
2024-07-05T21:16:47+08:00,OOOOOOJG,200518594084864,普通合約,BTCUSDT,多,101,55275.4,0,0,54756,0.009583,5.35104723,5.35104723,0.10594077,0,0,已平倉,手動平倉,55226.3,-0.68231415,-12.51,0.10584667,2024-07-05T21:21:01+08:00
2024-07-05T21:21:45+08:00,OOOOOOJG,201768239439872,普通合約,BTCUSDT,多,151,55239.9,0,0,54892.9,0.013272,5.0018883,5.0018883,0.1466287,0,0,已平倉,手動平倉,55200.1,-0.82137894,-15.96,0.14652306,2024-07-05T21:24:17+08:00
2024-07-05T21:35:12+08:00,OOOOOOJG,205151780282368,普通合約,BTCUSDT,多,181,55578.2,0,0,55287,0.016323,5.19389151,5.19389151,0.18144049,0,0,已平倉,手動平倉,55626.7,0.42862856,7.98,0.18159882,2024-07-05T21:35:49+08:00
2024-07-05T21:43:37+08:00,OOOOOOJY,207271464083456,得勁合約,BTCUSDT,空,838,55699,55499.8,55733,55761.3,0.252779,21.025221,21.025221,0,0,0,已平倉,止損平倉,55733,-12.83788639,-61.06,4.22643961,2024-07-05T21:44:47+08:00
2024-07-05T21:47:05+08:00,OOOOOOJY,208145812889600,得勁合約,BTCUSDT,多,500,55534.1,55867.1,0,55410.4,0.049997,6.3861213,7.3861213,0,0,0,已平倉,手動平倉,55457,-4.68658485,-73.39,0.83180459,2024-07-05T21:51:58+08:00
2024-07-05T21:58:54+08:00,OOOOOOJG,211116349005824,普通合約,BTCUSDT,多,179,55782.2,0,0,55486.7,0.016969,5.47753448,5.47753448,0.18931352,0,0,已平倉,手動平倉,55673.5,-2.22279397,-39.23,0.18894462,2024-07-05T22:04:52+08:00
2024-07-05T22:06:22+08:00,OOOOOOJG,212997604786176,普通合約,BTCUSDT,多,167,55603.9,0,0,55288.2,0.014451,4.9723657,4.9723657,0.1607063,0,-0.01781885,已平倉,手動平倉,56443,11.78421385,229.58,0.16313147,2024-07-06T05:06:21+08:00
